landscape,x,y
Atoll,0.187193261418438,0.0291256183645945
Sandbank,0.11804703763943,-0.0124106217432494
Island,-0.387984794525847,0.0799217164415041
Mud Flat,0.113642822886257,0.0726609819869618
Barrier island,-0.187349960764096,-0.0223134925771692
Lagoon,0.157956905612014,0.0217775418720084
Bay,0.016361955336344,-0.0791095821272135
Ria,-0.168238288336021,-0.184242011623347
Fjord,0.225955466020518,0.216965468493154
Cove,0.130492379541537,-0.0485719472457424
Cape,0.0821351494372625,0.017619505448248
Peninsula,-0.278635260098062,-0.180686265778603
Natural arch,0.467149578604127,-0.299196472570842
Isthmus,-0.384032405329264,-0.186134633792589
Hoodoo,0.263319060482864,0.191756402139795
Strait,0.143308731628056,-0.0918526104419559
Rock shelter,0.521056590426937,-0.436945459640743
Cave,1.03403580869133,-0.161908012542866
Terrace,-0.245700428362887,-0.135249778700581
Cuesta,-0.381404366806957,-0.0773792359184349
Plain,-0.573325904546175,-0.179591847465354
Mesa,-0.12712899782312,0.306479137400375
Butte,0.032349422215573,0.334364874838973
Hill,-0.362128674059381,-0.199386060194126
Beach,-0.216563302564394,-0.40838284647751
Rift valley,-0.378206655954307,0.0256339751735201
Fault,-0.121727341458509,0.161300728824999
Raised beach,-0.115680425617833,-0.073465299225729
MalpaÃ­s,-0.0311280769236311,0.436997539149184
Volcanic plateau,-0.324281694656391,0.34209454588172
Pit crater,0.155026222452462,0.0602828188523031
Lava tube,1.08143666448661,-0.145891535262512
Volcanic plug,0.087928893539355,0.20435151082833
Cliffed coast,0.0825008109051463,0.0377150724938578
Lava plain,-0.357993805443769,0.0658037526546432
Geyser,0.645408364762965,-0.00928794517795046
Tombolo,-0.375312134194968,-0.220454299853524
Crater lake,0.109619020027752,-0.187566791068577
Machair,-0.219072514322305,-0.128232301583356
Sea cave,0.828535420804872,-0.0274668818800451
Volcanic crater,0.468111322150509,0.283705698238752
Blowhole,0.686148728526837,0.183895533828933
Volcano,0.00556647732673929,0.259760543133531
Stack,0.292748112876901,0.226918293837522
Inselberg,-0.11331211828941,0.163947716631136
Wetland,-0.210514055759807,0.126234004599812
Mountain pass,0.203697926621702,-0.156869413183932
Swamp,-0.012908602682324,0.237033343934498
Mountain,-0.145282110714033,0.325855077758182
Oasis,0.115102782914715,-0.285118482282277
Mountain range,-0.429732131217888,0.33626158428805
Dirt cone,-0.0582133024177882,0.318037063978587
Pond,0.157376374614665,-0.658896709236267
Moulin,0.418082299587979,0.310212845101677
Lake,0.113050293529618,-0.481533515330408
Crevasse,0.434132299534486,0.244814976594856
Glacier cave,0.812432165196721,-0.0815132180205317
Dune,-0.187386822309223,-0.457474018498651
Nunatak,0.0153391842736848,0.183818792660692
Pingo,-0.263627913036582,-0.186138263008773
Dune sea,-0.309822033736298,0.138622752751073
Blowout,-0.167113750339565,-0.067773275810606
Ice sheet,-0.204807938644089,0.517446520863573
Dry lake,-0.467647935881905,-0.0406573386159253
Glacier,0.189678548570801,0.179231244020448
Yardang,-0.126859571014818,0.317944609369597
Esker,0.0233349323928307,0.0977798911516109
Kame,-0.151143215090519,-0.104722193767738
Braided river,-0.0104374296979514,-0.405066870901795
Meander,-0.0472676077105786,-0.389906127620189
Roche moutonnée,-0.144922994671503,0.500806660617311
Floodplain,0.0223800447048495,0.00680329961964026
Drumlin,0.0712870212643564,0.140107748096691
Inland island,4.15502804830696e-05,0.0241072122825377
Glacier foreland,-0.249604450241434,0.0248303430920055
Moraine,-0.0745256670370546,0.209204691950133
Peneplain,-0.520764650743589,-0.10841962063312
River valley,-0.461693926687568,-0.142480553187684
Kettle,0.0750336936195935,0.138537767007909
Canyon,0.0415054330060225,0.339848533491113
Alluvial fan,-0.0417167366208557,0.240408631774176
Sandur,-0.240403681976568,-0.168931235058103
Exhumed river channel,-0.210267940620717,-0.0114299256088285
Cirque,0.140352907730472,0.227941492618907
Oxbow lake,0.034730097858746,-0.218092764243446
Strath,-0.508521069809574,-0.194137077436135
U-shaped valley,-0.56373292616365,-0.145407159211721
Wadi,-0.105915334139473,-0.273664040870804
Spring,0.196179614231077,-0.568497008993631
Waterfall,0.426011543317446,-0.13648407617427
Gully,-0.161741972008407,-0.130029243550268
